,airline_sentiment,airline,name,text,date
3237,negative,United,pvb29,@united silence is very telling,2015-02-19
3238,negative,United,brendanfinn,@united thanks for the 2hr delay and then no ground crew when we landed. At least you didn't break my http://t.co/GCWVFuopl2,2015-02-19
3239,neutral,United,tdawghill,@united Bought a round trip to Chicago two days ago...today the same flight is half that! Is there any way for me to get that discount??,2015-02-19
3240,negative,United,gambajosh,@united Am I illiterate or is there a magic code to make your customer service site work? http://t.co/t4gcKs2bh5,2015-02-19
3241,negative,United,pongchmp,"@united worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",2015-02-19
3242,neutral,United,GDClearedToLand,@United Stars and Bars @iah #A320 @airlineguys @AirlineGeeks #avgeek http://t.co/mWSoGUC33p,2015-02-19
3243,negative,United,gambajosh,@united I'm confused. After your @Dulles_Airport agents directed us to go to your website after DELAYS nothing works! http://t.co/cypRHe5GOK,2015-02-19
3244,positive,United,constantlearne1,"@united Had wonderful, on time flights from OGG to MSN Lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?",2015-02-19
3245,negative,United,MeYoItsMe,@united 50 minute wait...still at the gate with a broken jetway. Might miss connection,2015-02-19
3246,negative,United,RobCNYC,“@united: @RobCNYC See information on our boarding process: http://t.co/gBIw9ugFNm ^KP”. I get group 1&amp;2. Just no reason on 3/5.,2015-02-19
3247,neutral,United,dwrichy,@united in Bogota with no wallet is no fun. :-(,2015-02-19
3248,negative,United,dwrichy,@united Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet.,2015-02-19
3249,negative,United,cptrice,@united one hour after departure time and still no update!,2015-02-19
3250,negative,United,pvb29,@united I am now following you and see that I am not the only one experiencing and noticing a substantial downgrade in service post merger,2015-02-19
3251,negative,United,MeYoItsMe,@united 40+ minutes waiting at the gate for the broken jetway. Different gate maybe?,2015-02-19
3252,negative,United,ChicagoEvan,@united how can you never got a flight from austin to Houston in time for a connection ever? Ever!,2015-02-19
3253,positive,United,fatmanscoop,"@united got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… http://t.co/lwOtKIEKGU",2015-02-19
3254,negative,United,MeYoItsMe,@united now sitting on the tarmac for a half hour after landing because your jetway is broken. #2daysofunitedfailures #1thingafteranother,2015-02-19
3255,negative,United,Jaytolchinsky,@united look at the Twitter history - as usual service non existent,2015-02-19
3256,positive,United,changecollab,@united thanks for the reply. I have been in contact with Customer Care to get clarification on this issue.,2015-02-19
3257,neutral,United,dr_spencer,@united I will give it a couple more weeks. Thank you.,2015-02-19
3258,negative,United,Czone12,@united make sure you make Cancelled Flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few $ more,2015-02-19
3259,negative,United,hstark,"@united How is this considered ""on time"" if it's arriving at destination half hour Late Flightr than scheduled? http://t.co/YMFTw1uyHr",2015-02-19
3260,negative,United,Czone12,"@united thanks for trying to take my money without notice. In any other industry, you Cancelled Flight a service, a refund is issued. Cont…",2015-02-19
3261,negative,United,fatabdula,@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,2015-02-19
3262,negative,United,acmejla,@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail,2015-02-19
3263,negative,United,dmb41shows,@united still sitting here waiting for a plane....4 hours wasted,2015-02-19
3264,positive,United,PaulBEsteves,@united thanks for the help. Wish the phone reps could be so accomidating,2015-02-19
3265,negative,United,whyyylie,"@united line is just getting longer and moving slower. Lady working the counter is doing great, she just needs help. #customerservicefail",2015-02-19
3266,negative,United,cptrice,@united an update on flight 5979 would be great!,2015-02-19
3267,negative,United,omerrana,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated,2015-02-19
3268,negative,United,Caraba10,@united what is the problem with your flights to ny today,2015-02-19
3269,negative,United,AlexandraLeahP,@united flight was too heavy so had to fly BACK to Palm Springs (after being in the air for 30 mins),2015-02-19
3270,negative,United,Depeche007,@united Your boarding process sucks. You should learn from @SouthwestAir,2015-02-19
3271,negative,United,nivekt13,"@united ouch, delays due to mechanical issues again QRO will have to wait! Yall seem to be falling apart #alwaysdelayed #unitedfail",2015-02-19
3272,negative,United,skyjumper77,@united my fingers are crossed that they are more capable of getting baggage from point A-&gt;B than United Airlines!,2015-02-19
3273,negative,United,ellenrayrx,"@united What happened this afternoon? Huge amt of incoming planes to SFO delayed over 1-2 hours.
Frustrating!",2015-02-19
3274,negative,United,MeYoItsMe,@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place,2015-02-19
3275,negative,United,whyyylie,@united can you maybe have more than 1 person working customer service desk in Houston airport? Line 3 rows deep 1 person working,2015-02-19
3276,positive,United,dschach,"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated.",2015-02-19
3277,negative,United,cheryllynnregan,"@united  Your survey is too long.  I fly a lot of segments and I'll fill it out after every trip, but not if it takes more than a minute.",2015-02-19
3278,negative,United,smorg73,@united can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved,2015-02-19
3279,positive,United,TonyLauro,"@united Fair enough. I don't usually rant, but it's good to know someone's listening. :)",2015-02-19
3280,negative,United,pvb29,@united are you telling me that you are now Cancelled Flighting my flight ??,2015-02-19
3281,negative,United,Matt_W_Scott,@united would be hard to be worse than last time but I'm sure you'll give it a shot,2015-02-19
3282,positive,United,dschach,@united Thank you for the Delta transfer. Will my bags go too?,2015-02-19
3283,positive,United,SonyaSloanMD,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!,2015-02-19
3284,negative,United,dmb41shows,@united service staff to is less than friendly!,2015-02-19
3285,neutral,United,dmb41shows,@united happens every time in and out of Newark.,2015-02-19
3286,negative,United,dschach,@united Can you transfer my bags too?,2015-02-19
3287,negative,United,bryandey,@united I am a comedian and I promise I will make fun of you on stage tonight.,2015-02-19
3288,negative,United,marylkrupa,"@united tried to and got through the whole 2,000 characters and I was not even done.",2015-02-19
3289,positive,United,Clashysass,@united we were able to get on the moon flight! Just got to our hotel in Puerto Rico! Thank you!,2015-02-19
3290,negative,United,johndgraham,@united you had us REBOARD without the captain.  So now we'll be sitting in here for another 20+ min? http://t.co/EEReKDf9Fq,2015-02-19
3291,negative,United,lskingdavis,@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,2015-02-19
3292,positive,United,annricord,@united @annricord Great! Appreciate it😊,2015-02-19
3293,positive,United,jasemccarty,"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)",2015-02-19
3294,positive,United,QuinnPJ,@united thanks! Everything a-ok now.,2015-02-19
3295,positive,United,hartgarfunkel,@united DM sent. Thanks so much for the strong customer service!!,2015-02-19
3296,negative,United,dschach,@united just delayed my flight to SLC by 2.5 hours. What gives? #snowforce,2015-02-19
3297,positive,United,TomWarrenburg,@united ok thanks. I sent you a DM too. You can disregard that.,2015-02-19
3298,positive,United,triathlete06,@united So excited I was put on an earlier flight to get home! Woo Hoo! #travel 🎉🎉🎉,2015-02-19
3299,negative,United,JFED15,@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!,2015-02-19
3300,negative,United,morrisls,@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient.,2015-02-19
3301,positive,United,NoviceFlyer,@united perfect! Thank you!,2015-02-19
3302,negative,United,morrisls,@united care less about the person - although he walked away while I was complaining.  A man at 10p at LAX club.  More.....,2015-02-19
3303,negative,United,BrianReinert1,@united smiling? NOT!!,2015-02-19
3304,negative,United,BrianReinert1,"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!",2015-02-19
3305,neutral,United,TheKevinDent,@united will I make it with the delay?,2015-02-19
3306,negative,United,khigdon1,@united @bwood we'd prefer everyone hear our complaints amount your airline,2015-02-19
3307,negative,United,khigdon1,@united why do you bother surveying me!,2015-02-19
3308,neutral,United,johndgraham,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,2015-02-19
3309,negative,United,khigdon1,@united worst airline ever after 70+ legs of travel I am officially done.  On time is not in their vocab.  I'm taking my premier status to A,2015-02-19
3310,neutral,United,Jaytolchinsky,@united looking back - never heard from anyone - I had to call and frankly got standard SOP - still think about it today,2015-02-19
3311,negative,United,Jaytolchinsky,@united Donna and Juan still the best in the United Club_ too bad UAL does not get it,2015-02-19
3312,neutral,United,TheKevinDent,@united I am on 1528 and my connecting flight is 909,2015-02-19
3313,neutral,United,Rksshots,@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm,2015-02-19
3314,negative,United,MSLspeaks,@united I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line,2015-02-19
3315,neutral,United,NoviceFlyer,@united can I access Frankfurt arrival lounge when I'm flying global first class?,2015-02-19
3316,negative,United,Caraba10,"@united keeps delaying my flight, horrible customer service",2015-02-19
3317,positive,United,ccbbm82413,@united has the best pilots ever Thank you guys for the great trip #thatisall,2015-02-19
3318,negative,United,adownie,@united - I really down think downgrading the booze/food selections at the club is a good way to go.  How about you look @aircanada?,2015-02-19
3319,negative,United,jasonramer,@united You guys are atrocious.  Far better service as silver on Delta than you as a platinum.  I'll be switching back to delta.,2015-02-19
3320,positive,United,NoviceFlyer,@united I will thank you!,2015-02-19
3321,positive,United,jeggers,@united thanks for making sure they hear the message!,2015-02-19
3322,neutral,United,ada_dog,@united @NTrustOpen can i go  #GolfUnited,2015-02-19
3323,neutral,United,TomWarrenburg,@united I got an email from cust. care for an issue I had offering me a voucher. How do I claim that? I emailed back but got no reply. DM me,2015-02-19
3324,negative,United,MissMcB76,@united I have and been denied! I called and got hung up on. Did speaks with manager on second call,2015-02-19
3325,negative,United,AgrippaInTheAir,"@united Club DEN, East or West, both are disgusting. http://t.co/XijYrPsLZK",2015-02-19
3326,negative,United,deannachurch,@united installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours.,2015-02-19
3327,neutral,United,Gouwerijn,@united i would like to know if its possiable to checkin online or must it be done at Schiphol?,2015-02-19
3328,neutral,United,RobCNYC,@united how do you go fr Silver Elite for two straight years to group 5 all the time?  I get no group 2 but maybe 3 or 4?  What's up?,2015-02-19
3329,negative,United,rick4tkins,"@united that's what I tried to do, but when entering email into 2nd device made email typo. No way to fix it &amp; no option to log out/in!!!",2015-02-19
3330,neutral,United,skyjumper77,@united What delivery service do you use? I'd like to call them myself.,2015-02-19
3331,negative,United,skyjumper77,@united so the 4-6hrs that you told me was what? A guess?? They've apparently had the bag 20hrs now and no call.,2015-02-19
3332,positive,United,NoviceFlyer,@United  my home for the next 8.5 hrs. 777 GFC! :) http://t.co/MKpoGNntYC,2015-02-19
3333,positive,United,abigailedge,@united Thank you.,2015-02-19
3334,positive,United,lucianosr83,"@united @perfectomobile I have to admit that not only the app is good but have lots of useful func (such the ""live"" seat map). Congrats",2015-02-19
3335,negative,United,galewolfe,@united still waiting 4 our bags. Web STILL can't tell me its location . How come @UPS @FedEx can tell u at any given minute where it is?,2015-02-19
3336,negative,United,johndgraham,@united seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great.,2015-02-19
3337,positive,United,harvblain,@united kind of cool to run into your boss man at SFO. http://t.co/bm9O2K5X5J,2015-02-19
3338,positive,United,christinerimay,@united Got a call. Bag is to be delivered tonight. Thanks for your reply!!,2015-02-19
3339,positive,United,NoviceFlyer,@United Global First Class Lounge ORD menu. Yummy! http://t.co/egKvFoKogj,2015-02-19
3340,positive,United,vmnkishore,@united pleasantly surprised with quality of service and flight.Flew LGA-CLE-DEN. Friendly crew. Love the concept of #byod #worksnicely,2015-02-19
3341,negative,United,abigailedge,"@united ""We like hearing from you."" So why haven't you replied to my tweet and/or email yet? https://t.co/caf2cx3gfi",2015-02-19
3342,negative,United,Tamarabrams,@united Rude grouchy agent at Dulles check-in just got my 19 hour trip off to a lousy start. He needs a nap or something.,2015-02-19
3343,negative,United,dandadams,@united 1k use to be special.  80 people in group one.   Why not board global AND 1k together? http://t.co/qd2lyUXAZg,2015-02-19
3344,negative,United,peteeustic,@united thats because you didnt read my entire tweet. Wife's 12pm flight is now delayed to 6:30.  Thats 3 6+ hour flight delays in 2 weeks,2015-02-19
3345,negative,United,jttorrey,@united As it always is. Helps to communicate to customers.,2015-02-19
3346,negative,United,tcar,@united I'm not as sure as you are. http://t.co/HSMpbSF4UF,2015-02-19
3347,negative,United,blake_music,@united how does that help me with my customers that I couldn't meet with (and subsequently lost)?,2015-02-19
3348,positive,United,DarinBrannon,@united thank you. I will address it with them,2015-02-19
3349,negative,United,rick4tkins,@united problem is on laptop not phone,2015-02-19
3350,negative,United,SandyPoole1,@united question - was given food vouchers but can't use on plane..how   come,2015-02-19
3351,neutral,United,blake_music,@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill.,2015-02-19
3352,neutral,United,neecolelong,@united please reroute Oregon Women's Tennis to Santa Barbara. There's supposedly another connection from LA.,2015-02-19
3353,negative,United,newyorkwool,@united the wifi in the ewr lounge reminds me of the old days of dial up,2015-02-19
3354,negative,United,bwood,@united needs to pay for my car. I could have been on my flight if 4 help desks did not say it already left. Shame.,2015-02-19
3355,negative,United,DaveGraf1965,@united too long for 140 characters,2015-02-19
3356,negative,United,hartgarfunkel,@united Bos-SF was in between waivers. Business Cancelled Flighted due to weather before/after. No flexibility/compassion in extreme circumstances = 😔,2015-02-19
3357,negative,United,rick4tkins,@united tried that already &amp; tried forgetting the wifi network connection. Still forces log in with incorrect email. Other suggestions?,2015-02-19
3358,negative,United,rick4tkins,@united I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi,2015-02-19
3359,negative,United,skyjumper77,@united or did you mean 24-26?,2015-02-19
3360,negative,United,skyjumper77,@united has it been 4-6hrs yet?,2015-02-19
3361,negative,United,rick4tkins,@united anyone awake? Paying for wifi on iPhone when need to be using it on laptop. Logout option for wifi in flight? Time is wasting!,2015-02-19
3362,negative,United,changecollab,"@United does a great job of answering public messages. Direct private messages, not so much.",2015-02-19
3363,negative,United,hartgarfunkel,@united I work in customer support- extremely saddened United won't waive change fee for flights I had to Cancelled Flight due to east coast storms.,2015-02-19
3364,negative,United,annricord,@united how's my refund coming along??,2015-02-19
3365,negative,United,ItsAaronChriz,@united ANOTHER F*CKING DELAY IN THE PAST 32 HOURS!?,2015-02-19
3366,neutral,United,Gouwerijn,@united online inchecking able in the Netherlands (ams)?,2015-02-19
3367,negative,United,marinwino,@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown,2015-02-19
3368,negative,United,rick4tkins,@united how do you log out of wifi in flight? Don't see any option and made typo when logging in. HELP!!,2015-02-19
3369,neutral,United,CorettaBrowne,"@united When will you have special promotions for flights departing Newark, NJ to St. John's, Antigua?",2015-02-19
3370,negative,United,SleazyC_,@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.,2015-02-19
3371,negative,United,Dile___,@united Just saying the truth. You don't even an email! #2015,2015-02-19
3372,negative,United,pdxmucci,"@united MR, she's on her way now, but thought id detail the extravaganza for you... #dobetter #please http://t.co/V8PVpHMtZc",2015-02-19
3373,neutral,United,Spofforth58,@united Hi if a premium ec upgrade was paid for &amp; then a mileage BF upgrade done is the prem Eco upgrade fare refunded?,2015-02-19
3374,neutral,United,deaffriendlyUSA,"@United, #deaffriendly? Getting there. Read your review on http://t.co/2Brt0aTHaU: http://t.co/WzNp5q1M0H",2015-02-19
3375,negative,United,MissMcB76,@united we followed the baggage rules on your website and was still charges $150. But only going one way,2015-02-19
3376,negative,United,vina_love,@united I sent you a dm hours ago,2015-02-19
3377,negative,United,christinerimay,@united Need to track lost luggage being shipped to me. Need ph # for human. Not automated 800-335-2247.,2015-02-19
3378,neutral,United,Ssanchik,@united DM the conf # to you - did you receive it?,2015-02-19
3379,negative,United,MissMcB76,@united no it weighed 45.5 and it was the only checked bag,2015-02-19
3380,neutral,United,ljsbrooks,@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145.,2015-02-19
3381,negative,United,jenny0z,"@united nonrefundable, hence I wrote $200! Doesn't make sense for my 150 credit. #nothanks",2015-02-19
3382,negative,United,njsummerBREEze,@united your website was down all day yesterday- tried 3x put all info in&amp;didnt go thru- today the flight I bought went up!,2015-02-19
3383,negative,United,peteeustic,@united you do realize my wife is waiting on a delayed flight at this very moment.  I'm not sure I understand your tweet.,2015-02-19
3384,negative,United,marmaidz,@united I'm a minor and freaking out bc I might not make my connecting flight to Hawaii so yes I'm frustrated,2015-02-19
3385,positive,United,LeanneComedy,@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:),2015-02-19
3386,negative,United,MissMcB76,@united I have been denied. Not sure how you charge $150 one way then $25 on way hime,2015-02-19
3387,neutral,United,jaredmatfess,@united @estellevw does she need to complain on Twitter for the refund or is it auto-applied?,2015-02-19
3388,negative,United,souleyoga,"@united even so, change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!",2015-02-19
3389,negative,United,Jewelsia26,@united Case ID 8544484,2015-02-19
3390,neutral,United,iamtedking,"@united no, I have a pricey Chase Mileage Plus CC.",2015-02-19
3391,negative,United,ResearchDad,@united your Airbus a320 seats are awful. They don't recline.,2015-02-19
3392,negative,United,nicolasmm,@united to DM you I have to follow you and I'm not doing that. Plus they're no more options. That's why I had to fly with you. #epicfail,2015-02-19
3393,positive,United,NoviceFlyer,@United  great way to start my vacation with an on time departure! Looking forward to my global first class suite!,2015-02-19
3394,neutral,United,danteusa1,"@united I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",2015-02-19
3395,negative,United,Brennej,@united - why am I sitting on this plane for an hour after scheduled takeoff without a cloud in the sky? #keepusguessing #isthisyourfirsttry,2015-02-19
3396,positive,United,canmoregolfer,@united Thank you for responding so promptly! I look forward to the 240 kms drive to the office to file a claim.,2015-02-19
3397,positive,United,BTMarleyCoffee,@united that would be great,2015-02-19
3398,neutral,United,PaulBEsteves,"@united Death in the family cannot make flight tomorrow. Phone rep quoted $440 per person fee, which is almost the cost of ticket. Help?",2015-02-19
3399,negative,United,theo,"@united of the airplane otherwise they would call the Police, because the flight had to take off before 12h30am",2015-02-19
3400,negative,United,jkentakula,@united @perfectomobile huh?  I have sent 16 crash reports in Feb alone.  8 in one day.  Only app I have that consistently crashes.,2015-02-19
3401,negative,United,theo,"@united I was abused , threatened and forced to travel in a lower cabine (last seat) in yesterday's flight from Houston to Sao Paulo",2015-02-19
3402,positive,United,jong_pj,@united You're welcome.,2015-02-19
3403,negative,United,Ssanchik,@united Contacted yesterday and was told that there's nothing they can do - they suggested I email for some compensation ??? cust service???,2015-02-19
3404,neutral,United,TheBIGCafeteria,@united I'm a UA 1k. I think it's @iamtedking who was looking for help,2015-02-19
3405,neutral,United,JerseyRic,@united  RES # 0167560070877     Fsqthg   Thanks,2015-02-19
3406,negative,United,PAIGER33,"@united unfortunately, that doesn't help. Just an automated computer.",2015-02-19
3407,positive,United,stewartmramsay,@united flt 1583 EWR to SFO excellent service. Friendly flight attendants. made the 6AM flight a very good start to the day.,2015-02-19
3408,positive,United,DeltaBravo33,@united Yes ! :D (Y) From @therealaviation on Instagram :),2015-02-19
3409,neutral,United,z1y2x3,@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'.,2015-02-19
3410,negative,United,nabia90,@united airlines delayed our flight on the way to Chicago and leaving Chicago. Next time @Delta it is.,2015-02-19
3411,negative,United,27_POWERS,@united They inquire and then do nothing about it...pretend they’re interested. Responded to your DM and no response back...,2015-02-19
3412,neutral,United,JerseyRic,"@united need assistance to change flight to get to an ailing parent..
have flight leaving Tuesday need to change ASAP to sooner #custserv",2015-02-19
3413,negative,United,sherrirosen,@united I must stop my relationship with you. You've become greedy and heartless and our long term relationship is over,2015-02-19
3414,negative,United,YeahNoPriesty,@united your customer service is lacking and you owe me a @GoPro camera. I also appreciate not being interrupted every time I speak Thanks,2015-02-19
3415,neutral,United,ellieINchicago,@united you need to follow me I order for me to DM....,2015-02-19
3416,negative,United,estellevw,@united Can i get a refund? I would like to book on a better airline.,2015-02-19
3417,negative,United,Ssanchik,@united whom can I call to discuss - as I was told that united has no phone contact with passengers  - this is absurd...,2015-02-19
3418,negative,United,DMSHIPMAN915,@united messaged you as requested- and called your baggage team again. It's STILL in Newark. please help or let me know next steps!!,2015-02-19
3419,neutral,United,AndavoTravel,@united Airlines is changing #mileageplus program March 1 http://t.co/4ojE523PTw,2015-02-19
3420,neutral,United,morrisls,@united There is only one club at LAX  - in terminal 7 across from gate 71,2015-02-19
3421,neutral,United,NathanNmred4,@united @perfectomobile Definately not an award for employer of the year #united13,2015-02-19
3422,negative,United,SaintAwesome504,"@united I guess that's not the busiest route, so based on traffic/fuel costs, regional jet is the decision, but still not great 4 travelers.",2015-02-19
3423,negative,United,kylry,@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay.,2015-02-19
3424,neutral,United,JerseyRic,"@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL, Need help!! #custserv",2015-02-19
3425,negative,United,PAIGER33,@united need to chat with an actual human ASAP!,2015-02-19
3426,neutral,United,slackmistress,@united I have already emailed but I didn't know if it was more expedient to contact you here. Please advise. Thanks.,2015-02-19
3427,negative,United,slackmistress,"@united I got an email saying ""changes to my MileagePlus account are confirmed"" but I didn't make any changes. Help?",2015-02-19
3428,neutral,United,elloecho,@united yes when I landed.,2015-02-19
3429,positive,United,melanie_seibert,@united Joni did a great job on flight 5653 to LAX. Thanks for a great flight.,2015-02-19
3430,positive,United,KP_Pearl,@united So far so good. Just stepped down in Denver. Next Stop Portland!,2015-02-19
3431,negative,United,hvonschroeter,@united 3/10 disappointed in the service. Will be missing my connection after over an hour delay + cramped seats. At least their app is good,2015-02-19
3432,negative,United,MissMcB76,@united what a joke. Hang up on customers!!,2015-02-19
3433,negative,United,MissMcB76,@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!,2015-02-19
3434,positive,United,SonyaSloanMD,@united #OrthoDoc on-call to in-flight! Glad to have been of service!,2015-02-19
3435,negative,United,uncmnwellness,"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail",2015-02-19
3436,positive,United,llbeefpatties,@united flight attendant regains karma by giving big sweaty dad cold water. Guy was running &amp; carrying his daughter.  Last one onboard.,2015-02-19
3437,negative,United,caraweikel,"@united really hoping to get some help here.  On my 5th attempt to get a resolution, and lost count of transfers.  help please! #mileageplus",2015-02-19
3438,neutral,United,TheBIGCafeteria,@united @iamtedking http://t.co/UCZzP9YpHk click lounges tab. Need to be flying on supported S/A airline,2015-02-19
3439,negative,United,vina_love,@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,2015-02-19
3440,positive,United,eghoniem,@united I just want shout out a thank the pilots and staff on the Feb 13 flight from Newark to Boston at 4:40pm.  They were super helpful!,2015-02-19
3441,negative,United,craver,@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour.,2015-02-19
3442,neutral,United,kzone7,"@united For my Grandma Ella's 80th, she would love a birthday greeting from your flight crew! She was a stewardess for Eastern Airlines.",2015-02-19
3443,neutral,United,PAFCAUAL,"@united is hiring - Flight Dispatcher - Chicago, IL (Network Operations Centerl) https://t.co/lio6oCpTEQ",2015-02-19
3444,negative,United,nickonken,"@united That doesn’t make any sense. I’ve been 1K for over 5 years, and you’re making it harder to keep me loyal.",2015-02-19
3445,neutral,United,msteckling,@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th,2015-02-19
3446,negative,United,pdxmucci,"@united I need you to get my cousin to PDX, she's on 2 days of travel now and we've had to hire other sitters til she arrives, thx for that",2015-02-19
3447,positive,United,BurgerFreshh,@united Keep the flights cheap and early/on time and you are good. Flew @AmericanAir  and Cancelled Flightled my flight 4 times last month. United&gt;,2015-02-19
3448,negative,United,alex_nieves,@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,2015-02-19
3449,negative,United,hire_llc,"@united I did, and as I thought, nothing happened",2015-02-19
3450,negative,United,scout_mb,@united I'm not booked on a 1:30 return flight..,2015-02-19
3451,negative,United,scout_mb,@united the flt TO ORD is correct.  Per my DM- it is the flight from ORD to CVG I was charged for incorrectly,2015-02-19
3452,negative,United,chaduragt,"@united You need to change the way customer service is handled! I have been waiting for a supervisor to contact me for 17 days, what gives?",2015-02-19
3453,negative,United,PAIGER33,@united I need to talk with an actual person about missing luggage. Please advise on how to make that happen.,2015-02-19
3454,negative,United,mfaywu,@united I know I can see that too but now estimated time of dep. is 10am. I don't understand why there wasn't a better estimate 3 hrs ago,2015-02-19
3455,neutral,United,iamtedking,@united any news?,2015-02-19
3456,negative,United,Brennej,"@united ""where we trick you into making us look popular on Twitter by being the worst airline"" #wellplayed #jokesonus",2015-02-19
3457,negative,United,jfmusial,@united why do I have to request refund? Why charge twice in first place?,2015-02-19
3458,negative,United,alex_nieves,@united I'll be calling soon but going tomorrow like it shows on the app is not a good option,2015-02-19
3459,negative,United,TheClayFox,@united I’ve filled out the form twice. No email. I have a lost item code. Can you verify it was received?,2015-02-19
3460,positive,United,scout_mb,@united message sent. Thank you!,2015-02-19
3461,negative,United,promitsanyal,@united that's what I have been told. But refund doesn't really makeup for the inconvenience caused and the missed meeting... Does it?,2015-02-19
3462,neutral,United,Cecilia_stories,"@united THIS IS THE  YEAR FOR VAN GOGH FANS TO VISIT EUROPE
http://t.co/e1EOfthgAJ",2015-02-19
3463,neutral,United,Cecilia_stories,"@united @AmericanAir THIS IS THE  YEAR FOR VAN GOGH FANS TO VISIT EUROPE
http://t.co/e1EOfthgAJ",2015-02-19
3464,negative,United,jfmusial,"@united please explain why I need to pay bag fees twice, equally $1200, because a delayed flight resulted in bags being rechecked overnight?",2015-02-19
3465,negative,United,Brennej,"@united - watched the entire #UNCvsDUKE game on the Tarmac before Cancelled Flighting my flight because crew timed out, right before my 4hr flight....",2015-02-19
3466,negative,United,promitsanyal,"@united reFlight Booking Problems would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead",2015-02-19
3467,neutral,United,Brennej,@united - who can eat at an airport for $7? #areyounew? #incompetent #no800number #feeltheheat,2015-02-19
3468,negative,United,Brennej,"@united - vacation days: relevant, Ritz in PR for the night: $700, losing a day to idiots and sleeping at the Newark ramada; #priceless",2015-02-19
3469,negative,United,Brennej,@united - That time when I spent a night trying to sleep in a toddler bed at the airport Ramada without my luggage you kidnapped #furious,2015-02-19
3470,negative,United,MSLspeaks,@united I am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line!! This is HELL!!,2015-02-19
3471,negative,United,AnneGillaspie,@united fyi the site/app still shows plenty of the unavailable flights I had errors with. Almost 24 hrs after sellout. Flying @AmericanAir,2015-02-19
3472,negative,United,ybenami,@united sure... You've been saying that for as long as I've been tweeting about your obsolete fleet.  Promises are free.,2015-02-19
3473,positive,United,DMSHIPMAN915,@united followed and messaged. Thanks so much for the help.,2015-02-19
3474,neutral,United,Stacycole,@united I did not.  That's why I am VERY concerned.,2015-02-19
3475,negative,United,jwcriner,@united Please consider letting flyers with no overhead bin items board/deplane first (after first class). Make sense?,2015-02-19
